Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
SZ_maxerror_5_rebaler	1	2895769	99.46244%	0.963	0.841	0.604	0.599	0.290	0.167
SZ_maxerror_5_medaka	1	2900896	99.65157%	0.975	0.914	0.799	0.773	0.558	0.000
LFZip_maxerror_6_flye	1	2898915	99.606875%	0.966	0.859	0.543	0.439	0.163	0.000
LFZip_maxerror_6_rebaler	1	2896280	99.52838%	0.961	0.842	0.609	0.597	0.330	0.000
LFZip_maxerror_6_medaka	1	2901240	99.71637%	0.977	0.916	0.812	0.773	0.441	0.000
SZ_maxerror_6_flye	1	2903397	99.54387%	0.964	0.859	0.524	0.414	0.141	0.000
SZ_maxerror_6_rebaler	1	2900954	99.47678%	0.959	0.840	0.599	0.571	0.278	0.000
SZ_maxerror_6_medaka	1	2905971	99.67552%	0.974	0.916	0.806	0.756	0.531	0.000
LFZip_maxerror_7_flye	1	2897780	99.45253%	0.960	0.848	0.516	0.405	0.135	0.000
LFZip_maxerror_7_rebaler	1	2895377	99.41205500000001%	0.957	0.835	0.595	0.585	0.371	0.000
LFZip_maxerror_7_medaka	1	2900719	99.61067%	0.972	0.909	0.806	0.761	0.485	0.200
SZ_maxerror_7_flye	1	2901071	99.59004%	0.965	0.859	0.518	0.430	0.112	0.000
SZ_maxerror_7_rebaler	1	2899219	99.530915%	0.963	0.847	0.599	0.602	0.287	0.000
SZ_maxerror_7_medaka	1	2904365	99.71633%	0.977	0.921	0.809	0.779	0.516	0.000
LFZip_maxerror_8_flye	1	2897227	99.50384%	0.959	0.839	0.501	0.419	0.092	0.000
LFZip_maxerror_8_rebaler	1	2895096	99.442965%	0.955	0.830	0.590	0.590	0.272	0.000
LFZip_maxerror_8_medaka	1	2900372	99.63357%	0.970	0.902	0.793	0.740	0.471	0.000
SZ_maxerror_8_flye	3	2912219	99.41133%	0.957	0.837	0.503	0.413	0.094	0.000
SZ_maxerror_8_rebaler	3	2908581	99.32675%	0.954	0.832	0.589	0.584	0.291	0.250
SZ_maxerror_8_medaka	3	2914056	99.575485%	0.971	0.906	0.798	0.731	0.463	0.400
LFZip_maxerror_9_flye	1	2900878	99.41711%	0.951	0.831	0.478	0.406	0.131	0.000
LFZip_maxerror_9_rebaler	1	2897836	99.34513000000001%	0.948	0.823	0.575	0.579	0.320	0.250
LFZip_maxerror_9_medaka	1	2903497	99.57982%	0.966	0.893	0.781	0.726	0.556	0.000
SZ_maxerror_9_flye	1	2903492	99.48367%	0.957	0.835	0.489	0.418	0.103	0.200
SZ_maxerror_9_rebaler	1	2899676	99.388365%	0.953	0.826	0.579	0.590	0.252	0.091
SZ_maxerror_9_medaka	1	2905448	99.60311%	0.970	0.901	0.792	0.742	0.515	0.167
LFZip_maxerror_10_flye	1	2889610	99.36224%	0.948	0.822	0.458	0.403	0.074	0.125
LFZip_maxerror_10_rebaler	1	2886656	99.25410500000001%	0.947	0.823	0.566	0.584	0.365	0.000
LFZip_maxerror_10_medaka	1	2892445	99.52175%	0.964	0.894	0.769	0.730	0.505	0.111
SZ_maxerror_10_flye	3	2903294	99.331625%	0.946	0.825	0.472	0.409	0.170	0.000
SZ_maxerror_10_rebaler	3	2899529	99.22028%	0.946	0.821	0.577	0.592	0.291	0.222
SZ_maxerror_10_medaka	3	2905397	99.51421500000001%	0.963	0.892	0.763	0.728	0.386	0.333
